DATE,WM2NS
2016-07-18,12856.3
2016-07-25,12790.9
2016-08-01,12883.3
2016-08-08,12957.1
2016-08-15,12962.2
2016-08-22,12933.6
2016-08-29,12915.3
2016-09-05,13025.6
2016-09-12,13068.2
2016-09-19,13025.3
2016-09-26,12932.5
2016-10-03,13044.0
2016-10-10,13095.7
2016-10-17,13115.5
2016-10-24,13026.1
2016-10-31,13077.0
2016-11-07,13159.7
2016-11-14,13205.1
2016-11-21,13216.4
2016-11-28,13185.9
2016-12-05,13260.5
2016-12-12,13282.1
2016-12-19,13302.8
2016-12-26,13297.0
2017-01-02,13347.0
2017-01-09,13370.2
2017-01-16,13334.8
2017-01-23,13235.2
2017-01-30,13181.4
2017-02-06,13278.6
2017-02-13,13298.6
2017-02-20,13301.3
2017-02-27,13323.4
2017-03-06,13448.9
2017-03-13,13503.0
2017-03-20,13502.2
2017-03-27,13471.0
2017-04-03,13582.7
2017-04-10,13633.4
2017-04-17,13674.0
2017-04-24,13469.4
2017-05-01,13450.3
2017-05-08,13472.9
2017-05-15,13491.4
2017-05-22,13468.1
2017-05-29,13454.0
2017-06-05,13555.7
2017-06-12,13549.2
2017-06-19,13528.7
2017-06-26,13450.3
2017-07-03,13562.9
2017-07-10,13618.3
2017-07-17,13608.0
2017-07-24,13523.5
2017-07-31,13581.1
2017-08-07,13670.8
2017-08-14,13661.8
2017-08-21,13657.4
2017-08-28,13626.4
2017-09-04,13717.2
2017-09-11,13745.8
2017-09-18,13722.3
2017-09-25,13614.5
2017-10-02,13739.0
2017-10-09,13778.9
2017-10-16,13789.8
2017-10-23,13705.3
2017-10-30,13712.0
2017-11-06,13823.1
2017-11-13,13826.3
2017-11-20,13822.0
2017-11-27,13804.4
2017-12-04,13879.1
2017-12-11,13935.8
2017-12-18,13966.6
2017-12-25,13935.2
2018-01-01,13963.5
2018-01-08,13970.1
2018-01-15,13921.1
2018-01-22,13824.2
2018-01-29,13745.8
2018-02-05,13840.0
2018-02-12,13835.9
2018-02-19,13842.7
2018-02-26,13841.8
2018-03-05,13993.8
2018-03-12,14016.1
2018-03-19,14019.8
2018-03-26,13995.3
2018-04-02,14152.3
2018-04-09,14149.7
2018-04-16,14171.0
2018-04-23,14016.2
2018-04-30,13932.6
2018-05-07,13991.9
2018-05-14,14008.2
2018-05-21,13992.4
2018-05-28,13975.8
2018-06-04,14097.3
2018-06-11,14107.4
2018-06-18,14124.6
2018-06-25,14004.0
2018-07-02,14129.6
2018-07-09,14166.3
2018-07-16,14157.0
2018-07-23,14075.1
2018-07-30,14086.9
2018-08-06,14187.5
2018-08-13,14195.5
2018-08-20,14184.6
2018-08-27,14148.4
2018-09-03,14240.5
2018-09-10,14245.3
2018-09-17,14251.3
2018-09-24,14131.8
2018-10-01,14220.7
2018-10-08,14232.1
2018-10-15,14261.9
2018-10-22,14207.8
2018-10-29,14171.2
2018-11-05,14261.9
2018-11-12,14251.5
2018-11-19,14289.8
2018-11-26,14240.2
2018-12-03,14368.3
2018-12-10,14412.2
2018-12-17,14432.7
2018-12-24,14500.2
2018-12-31,14548.0
2019-01-07,14552.7
2019-01-14,14504.0
2019-01-21,14412.5
2019-01-28,14343.2
2019-02-04,14408.0
2019-02-11,14412.1
2019-02-18,14412.3
2019-02-25,14391.9
2019-03-04,14537.5
2019-03-11,14581.2
2019-03-18,14591.9
